id,property_type,room_type,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
11507601,Room in serviced apartment,Hotel room,0.95,0.66,0.0,1.0,3.1,1.39,1.5,1.8,8622.0,1.0,1125.0,30,60,90,365,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03
11865463,Room in boutique hotel,Hotel room,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,2300.0,1.0,368.1,3,17,43,284,8.0,1.0,0.0,5.0,5.0,5.0,5.0,4.88,5.0,4.88,0.09
11891097,Room in boutique hotel,Hotel room,1.0,1.0,0.0,1.0,5.0,1.0,1.0,3.0,2400.0,1.0,322.5,7,32,58,304,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04
11912604,Room in boutique hotel,Hotel room,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2400.0,1.0,310.2,6,24,53,305,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
12008058,Room in serviced apartment,Hotel room,1.0,0.98,1.0,1.0,4.0,2.0,2.0,3.0,4575.0,1.0,1125.0,12,31,55,316,42.0,14.0,1.0,4.9,4.88,4.98,4.9,4.88,4.95,4.78,0.54
13587715,Room in serviced apartment,Hotel room,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,454.0,3.0,1125.0,20,50,72,332,104.0,22.0,3.0,4.85,4.92,4.96,4.91,4.93,4.95,4.9,1.9
16840020,Room in boutique hotel,Hotel room,0.71,0.83,0.0,1.0,6.0,1.0,1.0,5.0,1999.0,1.0,1125.0,2,32,62,337,23.0,3.0,0.0,4.35,4.7,4.83,4.7,4.7,4.91,4.61,0.31
16842742,Room in aparthotel,Hotel room,0.91,0.93,0.0,1.0,1.0,1.0,1.0,1.0,749.0,1.0,1125.0,20,50,80,355,28.0,3.0,0.0,4.61,4.64,4.71,4.75,4.71,4.82,4.54,0.57
17777234,Room in serviced apartment,Hotel room,0.95,0.66,0.0,1.0,3.1,1.3,1.5,1.8,10439.0,1.3,1125.0,30,60,90,365,0.0,0.0,0.0,4.72,4.78,4.83,4.75,4.82,4.83,4.71,1.7
19945397,Room in serviced apartment,Hotel room,1.0,0.91,0.0,1.0,4.0,1.39,2.0,2.0,1432.8,1.0,1125.0,30,60,90,360,11.0,0.0,0.0,4.82,4.91,5.0,4.91,5.0,5.0,4.64,0.17
