id,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
24806492,98%,100%,f,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"$1,144.00",1.0,1125.0,19,49,79,168,216,43,2,4.81,4.87,4.73,4.92,4.87,4.94,4.82,3.62
25812526,100%,100%,t,t,Entire loft,Entire home/apt,4,2 baths,2.0,3.0,"$2,855.00",2.0,1125.0,10,32,51,320,143,40,2,4.94,4.97,4.92,4.91,4.88,4.99,4.9,2.69
25261677,100%,92%,f,t,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,"$1,000.00",3.0,1125.0,0,0,0,88,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
25262298,0%,100%,f,t,Private room in bed and breakfast,Private room,6,1.5 shared baths,2.0,4.0,$650.00,1.0,15.0,0,0,0,0,65,2,0,4.71,4.66,4.82,4.71,4.82,4.88,4.74,1.11
24806588,100%,94%,f,t,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,$800.00,2.0,1125.0,20,50,80,355,42,12,0,4.36,4.48,4.57,4.5,4.55,4.83,4.45,0.74
24806768,,,f,f,Private room in home,Private room,2,2 baths,2.0,2.0,$750.00,3.0,366.0,29,59,89,364,14,0,0,4.85,5.0,5.0,4.85,4.92,5.0,4.92,0.24
25815807,100%,99%,t,t,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,$886.00,1.0,1125.0,11,28,56,56,227,60,4,4.98,4.96,4.99,4.98,4.97,4.98,4.96,3.89
24824979,100%,99%,t,t,Private room in condo,Private room,2,1 private bath,1.0,1.0,$784.00,1.0,1125.0,25,55,85,175,66,22,2,4.77,4.88,4.82,4.92,4.83,5.0,4.82,1.11
25816475,99%,99%,t,t,Entire rental unit,Entire home/apt,5,2.5 baths,2.0,2.0,"$2,905.00",1.0,1125.0,0,0,0,58,16,1,0,5.0,4.88,5.0,4.94,4.88,4.94,4.88,0.29
25263332,91%,86%,t,f,Entire home,Entire home/apt,16,2.5 baths,4.0,7.0,$694.00,1.0,1125.0,29,56,86,361,32,10,0,4.72,4.78,4.69,4.69,4.69,4.56,4.66,0.54
