id,property_type,room_type,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
675506990369008828,Private room in rental unit,Private room,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,608.0,1.0,1125.0,25,55,81,352,110.0,12.1,1.0,4.72,4.75,4.85,4.68,4.8,4.91,4.73,1.6
675537672093362935,Private room in rental unit,Private room,1.0,0.99,0.0,1.0,2.0,1.0,1.0,1.0,464.0,2.0,365.0,5,20,32,132,16.0,16.0,0.0,4.25,4.19,4.63,3.56,4.75,4.94,4.25,2.16
681086123364383180,Entire condo,Entire home/apt,1.0,0.99,1.0,1.0,4.0,2.0,2.0,2.0,1143.0,2.0,1125.0,1,19,29,304,30.0,30.0,5.0,4.93,4.97,4.83,4.93,4.97,4.97,4.93,4.07
678942910926662355,Private room in rental unit,Private room,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,579.0,1.0,1125.0,28,58,88,178,7.0,7.0,0.0,5.0,5.0,4.86,4.86,4.86,5.0,4.86,0.86
678976717048740953,Entire guesthouse,Entire home/apt,0.95,0.81,0.0,1.0,2.0,1.0,1.0,1.0,550.0,1.0,365.0,28,58,88,363,8.0,8.0,0.0,4.63,4.5,4.63,4.63,4.63,4.88,4.63,1.02
675576009672435462,Entire condo,Entire home/apt,1.0,0.9,1.0,1.0,6.0,1.0,2.0,4.0,1916.0,2.0,1125.0,29,54,84,359,14.0,14.0,1.0,5.0,5.0,4.93,5.0,5.0,5.0,5.0,1.73
678979797462158184,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2365.0,2.1,1125.0,16,46,76,339,14.0,14.0,3.0,5.0,5.0,5.0,4.93,5.0,5.0,4.93,1.9
681091737114812977,Private room in vacation home,Private room,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,369.0,1.0,365.0,30,60,90,365,11.0,11.0,0.0,4.0,4.0,4.82,4.45,4.73,4.73,4.09,1.63
675614400992413581,Private room in condo,Private room,1.0,0.93,0.0,1.0,1.0,1.0,1.0,1.0,500.0,3.0,1125.0,29,59,89,364,2.0,2.0,0.0,4.5,5.0,5.0,5.0,5.0,5.0,4.5,0.43
681101526713963662,Private room in vacation home,Private room,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,369.0,1.0,365.0,30,59,88,363,4.0,4.0,0.0,4.0,4.5,4.75,3.75,5.0,4.5,4.5,0.59
679013054758176884,Private room in home,Private room,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,369.0,1.0,365.0,22,51,81,355,13.0,13.0,0.0,4.31,4.23,4.23,4.23,4.08,4.31,4.23,1.72
681106939354470673,Private room in vacation home,Private room,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,369.0,1.0,365.0,27,55,84,359,7.0,7.0,0.0,4.57,4.57,4.43,4.14,4.29,4.71,4.57,1.07
675634993639191982,Private room in condo,Private room,0.95,0.86,0.0,1.0,2.0,1.0,1.0,1.0,856.0,3.0,60.0,0,0,0,271,3.0,3.0,0.0,4.33,4.67,5.0,4.67,5.0,5.0,5.0,0.42
681130827370794347,Entire rental unit,Entire home/apt,1.0,1.0,0.0,1.0,4.0,2.0,2.0,2.0,1895.0,1.0,1125.0,23,53,83,354,17.0,17.0,2.0,4.06,4.24,3.94,4.35,4.06,4.88,4.24,2.1
675645041286608666,Entire condo,Entire home/apt,1.0,0.99,1.0,1.0,4.0,2.0,2.0,2.0,1432.8,2.9,365.0,30,60,90,365,0.0,0.0,0.0,4.72,4.78,4.83,4.75,4.82,4.83,4.71,1.7
675673721027140741,Entire loft,Entire home/apt,1.0,0.98,0.0,1.0,1.0,1.0,1.55,1.0,443.0,1.0,365.0,8,38,68,343,4.0,4.0,2.0,4.5,4.0,4.0,4.5,4.0,5.0,4.25,1.1
679042442819717961,Private room in vacation home,Private room,1.0,0.82,0.0,1.0,2.0,1.0,1.0,1.0,2000.0,1.0,365.0,0,0,0,272,0.0,0.0,0.0,4.72,4.78,4.83,4.75,4.82,4.83,4.71,1.7
679048601608590492,Entire vacation home,Entire home/apt,1.0,0.82,0.0,1.0,4.0,2.0,2.0,2.0,3000.0,2.0,365.0,0,0,0,267,4.0,4.0,0.0,4.75,5.0,5.0,4.0,5.0,5.0,4.75,0.81
679059789712888662,Private room in home,Private room,1.0,1.0,0.0,1.0,8.0,2.0,1.0,4.0,369.0,1.0,365.0,27,56,86,360,17.0,17.0,0.0,3.94,4.35,4.0,4.0,4.41,4.53,4.12,2.3
679080667098403577,Entire condo,Entire home/apt,1.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,1250.0,3.0,1125.0,19,49,79,354,7.0,7.0,1.0,4.86,5.0,5.0,5.0,5.0,5.0,4.71,0.95
681149806715838088,Private room in rental unit,Private room,1.0,0.67,0.0,1.0,2.0,1.0,1.0,1.0,1000.0,2.0,1125.0,0,22,52,327,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.4
679162267999603624,Entire home,Entire home/apt,1.0,0.9,1.0,1.0,7.0,4.0,4.0,4.0,1040.0,2.0,90.0,21,51,81,138,24.0,24.0,0.0,4.71,4.83,4.96,4.75,4.96,4.75,4.75,3.14
675910394343713210,Private room in hostel,Private room,0.96,0.99,1.0,1.0,2.0,1.0,1.0,1.0,600.0,2.0,1125.0,28,57,82,332,11.0,11.0,2.0,4.73,5.0,4.82,4.82,4.91,4.91,4.82,1.39
675938159185343480,Entire condo,Entire home/apt,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,520.0,4.0,1125.0,24,54,84,84,6.0,6.0,0.0,4.83,5.0,5.0,4.67,5.0,4.83,4.83,1.01
675966081708972026,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1801.0,1.1,1125.0,29,59,89,364,41.0,41.0,2.0,4.8,4.88,4.93,4.98,4.85,4.9,4.8,4.94
679162673025799690,Entire loft,Entire home/apt,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1083.0,2.0,1125.0,8,36,61,328,55.0,55.0,2.0,4.58,4.76,4.84,4.84,4.84,4.85,4.64,6.82
679211315353072322,Entire loft,Entire home/apt,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1164.0,2.0,365.0,16,44,72,341,59.0,59.0,5.0,4.8,4.85,4.92,4.93,4.93,4.81,4.69,1.6
675994721852806606,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2999.0,1.0,1125.0,8,38,68,342,17.0,17.0,0.0,5.0,4.94,4.94,5.0,4.88,5.0,4.94,2.08
681195023929757161,Private room in guest suite,Private room,0.98,1.0,0.0,1.0,2.0,1.0,1.0,1.0,218.0,1.0,365.0,18,48,78,353,20.0,20.0,3.0,4.3,4.4,4.55,4.4,4.75,4.45,4.25,2.49
675999851420034625,Entire serviced apartment,Entire home/apt,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2013.0,2.0,1125.0,12,42,72,347,2.0,2.0,0.0,4.0,4.5,5.0,4.0,5.0,5.0,4.0,0.41
